state	rank	country	value
Delaware	11	Russia	188.29
Delaware	12	Chile	180.05
Delaware	13	Switzerland	164.83
Delaware	14	Netherlands	146.44
Delaware	15	Honduras	128.02
Delaware	16	Japan	100.3
Delaware	17	Spain	96.09
Delaware	18	Guatemala	91.93
Delaware	19	Taiwan	85.41
Delaware	20	Nigeria	82.41
Delaware	21	Italy	81.74
Delaware	22	Brazil	77.69
Delaware	23	Ireland	73.25
Delaware	24	Malaysia	70.47
Delaware	25	Austria	68.26
District of Colombia	0	World	912.12
District of Colombia	0	Top 25	864.19
District of Colombia	1	Japan	163.58
District of Colombia	2	India	140.17
District of Colombia	3	United Kingdom	125.24
District of Colombia	4	Germany	59.27
District of Colombia	5	Canada	54.85
District of Colombia	6	France	46.97
District of Colombia	7	Italy	33.14
District of Colombia	8	Qatar	28.66
District of Colombia	9	China	27.32
District of Colombia	10	Netherlands	25.73
District of Colombia	11	Kuwait	24.22
District of Colombia	12	Argentina	22.4
District of Colombia	13	Djibouti	15.84
District of Colombia	14	Korea, South	14.99
District of Colombia	15	Australia	13.89
District of Colombia	16	Ireland	10.42
District of Colombia	17	Bahrain	9.78
District of Colombia	18	Malaysia	9.54
District of Colombia	19	Spain	9.12
District of Colombia	20	Mexico	7.05
District of Colombia	21	Sweden	5.64
District of Colombia	22	Switzerland	5.37
District of Colombia	23	Brazil	3.77
District of Colombia	24	Austria	3.69
District of Colombia	25	Portugal	3.55
Florida	0	World	73436.52
Florida	0	Top 25	60543.48
Florida	1	China	11832.21
Florida	2	Mexico	5552.11
Florida	3	Canada	4199.04
Florida	4	Germany	3975.64
Florida	5	France	3584.61
Florida	6	Japan	3274.43
Florida	7	Brazil	3026.9
Florida	8	Vietnam	2529.63
Florida	9	Colombia	2311.24
Florida	10	Chile	2113.5
Florida	11	United Kingdom	2085.64
Florida	12	Italy	1914.21
Florida	13	Korea, South	1911.23
Florida	14	Switzerland	1253.53
Florida	15	Ecuador	1223.17
Florida	16	India	1155.63
Florida	17	Dominican Republic	1148.58
Florida	18	Venezuela	1138.62
Florida	19	Peru	1137.95
Florida	20	Taiwan	1025.7
Florida	21	Spain	1000.01
Florida	22	Honduras	966.87
Florida	23	Thailand	757.5
Florida	24	Trinidad and Tobago	716.69
Florida	25	Guatemala	708.87
Georgia	0	World	88545.29
Georgia	0	Top 25	80705.79
Georgia	1	China	19733.62
Georgia	2	Germany	16365.44
Georgia	3	Korea, South	7348.45
Georgia	4	Mexico	6266.46
Georgia	5	Japan	4607.4
Georgia	6	Canada	4203.76
Georgia	7	United Kingdom	3543.04
Georgia	8	India	2101.83
Georgia	9	France	1854.78
Georgia	10	Italy	1569.74
Georgia	11	Taiwan	1444.02
Georgia	12	Thailand	1370.61
Georgia	13	Vietnam	1352.35
Georgia	14	Indonesia	1036.47
Georgia	15	Chile	939.39
Georgia	16	Belgium	897.23
Georgia	17	Netherlands	814.5
Georgia	18	Malaysia	812.28
Georgia	19	Ireland	776.25
Georgia	20	Austria	713.37
Georgia	21	Brazil	687.8
Georgia	22	Singapore	653.23
Georgia	23	Bangladesh	618.8
Georgia	24	Hungary	511.69
Georgia	25	Pakistan	483.28
Hawaii	0	World	3759.73
Hawaii	0	Top 25	3622.43
Hawaii	1	Indonesia	816.46
Hawaii	2	Russia	477.03
Hawaii	3	France	387.46
Hawaii	4	Japan	312.02
Hawaii	5	China	279.5
Hawaii	6	Canada	265.18
Hawaii	7	Korea, South	213.98
Hawaii	8	Vietnam	192.92
Hawaii	9	Argentina	131.56
Hawaii	10	Nigeria	111.43
Hawaii	11	Taiwan	50.87
Hawaii	12	Italy	38.16
Hawaii	13	Thailand	37.93
Hawaii	14	Ecuador	36.8
Hawaii	15	United Arab Emirates	33.73
Hawaii	16	United Kingdom	31.98
Hawaii	17	Germany	31.9
Hawaii	18	Australia	29.73
Hawaii	19	Philippines	28.05
Hawaii	20	New Zealand	26.77
Hawaii	21	Malaysia	19.39
Hawaii	22	Netherlands	18.96
Hawaii	23	Switzerland	18.58
Hawaii	24	Libya	16.67
Hawaii	25	Peru	15.39
Idaho	0	World	5166.16
Idaho	0	Top 25	5064.54
Idaho	1	China	1582.92
Idaho	2	Canada	914.25
Idaho	3	Taiwan	841.94
Idaho	4	Singapore	503.45
Idaho	5	Japan	431.09
Idaho	6	Korea, South	178.27
Idaho	7	Mexico	136.76
Idaho	8	Germany	63.45
Idaho	9	France	42.91
Idaho	10	Malaysia	42.85
Idaho	11	Greece	42.08
Idaho	12	Vietnam	32.03
Idaho	13	Israel	31.2
Idaho	14	New Zealand	28.81
Idaho	15	Netherlands	27.7
Idaho	16	United Kingdom	27.63
Idaho	17	Italy	25.64
Idaho	18	Austria	23.84
Idaho	19	Thailand	15.94
Idaho	20	Australia	15.49
Idaho	21	India	14.12
Idaho	22	Chile	12.81
Idaho	23	Indonesia	11.1
Idaho	24	Denmark	9.61
Idaho	25	Hong Kong	8.63
Illinois	0	World	121251.74
Illinois	0	Top 25	114596.94
Illinois	1	China	31177.77
Illinois	2	Canada	29745.3
Illinois	3	Mexico	13117.02
Illinois	4	Japan	7108.5
Illinois	5	Germany	4573.36
Illinois	6	Korea, South	4067.21
Illinois	7	Vietnam	2681.04
Illinois	8	Taiwan	2220.57
Illinois	9	Ireland	1984.55
Illinois	10	United Kingdom	1916.57
Illinois	11	Italy	1783.7
Illinois	12	Brazil	1781.85
Illinois	13	Malaysia	1646.06
Illinois	14	India	1409.56
Illinois	15	France	1302.32
Illinois	16	Thailand	1172.76
Illinois	17	Switzerland	1122.39
Illinois	18	Australia	1006.91
Illinois	19	Netherlands	926.16
Illinois	20	Singapore	828.93
Illinois	21	Indonesia	822.37
Illinois	22	Spain	616.67
Illinois	23	New Zealand	582.47
Illinois	24	Russia	523.38
Illinois	25	Belgium	479.55
Indiana	0	World	48978.91
Indiana	0	Top 25	47558.85
Indiana	1	China	8319.24
Indiana	2	Canada	7864.39
Indiana	3	Ireland	5853.86
Indiana	4	Mexico	5255.42
Indiana	5	Japan	4370.08
Indiana	6	Denmark	3304.75
Indiana	7	Germany	2493.87
Indiana	8	France	1540.16
Indiana	9	Switzerland	1184.96
Indiana	10	Brazil	1021.65
Indiana	11	United Kingdom	968.83
Indiana	12	Taiwan	766.06
Indiana	13	Vietnam	672.05
Indiana	14	Italy	608.98
Indiana	15	Thailand	507.17
Indiana	16	Indonesia	462.53
Indiana	17	India	404.25
Indiana	18	Netherlands	402.37
Indiana	19	Korea, South	334.65
Indiana	20	Philippines	258.71
Indiana	21	Russia	206.92
Indiana	22	Austria	202.61
Indiana	23	Honduras	198.5
Indiana	24	Spain	188.38
Indiana	25	Malaysia	168.48
Iowa	0	World	9443.88
Iowa	0	Top 25	9093.83
Iowa	1	Canada	2795.5
Iowa	2	Mexico	1610.45
Iowa	3	China	1548.21
Iowa	4	Germany	595.09
Iowa	5	Japan	382.6
Iowa	6	Italy	285.65
Iowa	7	France	190.93
Iowa	8	Taiwan	183.86
Iowa	9	Spain	167.93
Iowa	10	India	165.75
Iowa	11	United Kingdom	140.74
Iowa	12	Korea, South	130.56
Iowa	13	Brazil	119.66
